parameter,base_value,base_cost,cost_-20pct,abs_change_-20pct,rel_change_-20pct,cost_-10pct,abs_change_-10pct,rel_change_-10pct,cost_+10pct,abs_change_+10pct,rel_change_+10pct,cost_+20pct,abs_change_+20pct,rel_change_+20pct,sensitivity,sensitivity_std
engine_material_base_coefficient,2.0,1278.8298302846777,1243.6356840271758,-35.19414625750187,-2.752058594822371,1261.2327571559267,-17.597073128750935,-1.3760292974111854,1296.4269034134288,17.597073128751163,1.3760292974112076,1314.0239765421798,35.1941462575021,2.752058594822393,1.3760292974111938,9.206152481068433e-15
engine_labor_thrust_coefficient,0.000102,1278.8298302846777,1242.708210342633,-36.12161994204462,-2.824583778594192,1261.0415489531047,-17.78828133157299,-1.3909811071276867,1296.1354890141047,17.305658729427023,1.3532417151681964,1313.00965509738,34.179824812702236,2.6727422213081775,1.373221455561767,0.02999600790946576
engine_k4_twin_shaft,0.57,1278.8298302846777,1243.9868629448408,-34.84296733983683,-2.724597637207171,1261.4083466147595,-17.42148366991819,-1.362298818603569,1296.251313954596,17.421483669918416,1.3622988186035911,1313.6727976245145,34.84296733983683,2.7245976372071823,1.3622988186035843,9.100443346154195e-15
engine_labor_thrust_exponent,0.4,1278.8298302846777,1255.163043300397,-23.666786984280634,-1.8506595970639972,1266.6134849864534,-12.216345298224269,-0.9552752843984602,1291.8633093885605,13.033479103882883,1.0191722772826983,1305.7685792057168,26.938748921039178,2.1065155256069,0.9882587807541519,0.05056797348724648
engine_k1_bpr_coefficient,0.2,1278.8298302846777,1299.095343163157,20.265512878479285,1.5846919111957236,1288.9625867239174,10.132756439239756,0.7923459555978729,1268.6970738454381,-10.132756439239529,-0.7923459555978507,1258.5643174061984,-20.265512878479285,-1.5846919111957236,0.7923459555978618,7.850462293418876e-15
engine_k3_compressor_coefficient,0.032,1278.8298302846777,1261.2249625761287,-17.60486770854891,-1.376638806167818,1270.0273964304029,-8.802433854274796,-0.6883194030839368,1287.6322641389525,8.802433854274796,0.6883194030839368,1296.4346979932268,17.604867708549136,1.3766388061678292,0.6883194030839244,1.2643388267076654e-14
engine_k2_opr_divisor,20.0,1278.8298302846777,1298.1223304782038,19.292500193526166,1.5086057375774065,1287.4042748151337,8.574444530456049,0.6704914389233041,1271.81437566885,-7.015454615827593,-0.5485839045735963,1265.9681634889937,-12.86166679568396,-1.005737158384934,0.6190616978695176,0.0992511369610113
engine_k2_opr_coefficient,0.4,1278.8298302846777,1263.395830129857,-15.434000154820751,-1.2068845900619185,1271.1128302072673,-7.7170000774103755,-0.6034422950309537,1286.5468303620883,7.717000077410603,0.6034422950309759,1294.2638304394986,15.434000154820978,1.2068845900619296,0.6034422950309635,8.210397648193677e-15
engine_labor_flight_time_constant,1.3,1278.8298302846777,1263.8718224445097,-14.958007840167966,-1.169663663291165,1271.3508263645936,-7.4790039200840965,-0.5848318316455936,1286.3088342047615,7.479003920083869,0.5848318316455714,1293.7878381248454,14.958007840167738,1.1696636632911428,0.5848318316455797,9.20548301573787e-15
engine_material_flight_time_constant,1.3,1278.8298302846777,1265.3213742455482,-13.508456039129442,-1.05631380495107,1272.075602265113,-6.754228019564607,-0.5281569024755295,1285.5840583042427,6.754228019565062,0.5281569024755628,1292.3382863238078,13.508456039130124,1.0563138049511256,0.5281569024755475,1.5391311336190334e-14
airframe_material_time_coefficient,2.2e-06,1278.8298302846777,1269.0198209150913,-9.810009369586396,-0.7671082686116715,1273.9248255998846,-4.905004684793084,-0.3835541343058302,1283.734834969471,4.905004684793312,0.3835541343058413,1288.639839654264,9.810009369586396,0.7671082686116826,0.3835541343058371,4.602741507868935e-15
airframe_material_base_coefficient,4.2e-06,1278.8298302846777,1269.8558493263297,-8.973980958347965,-0.7017337839507753,1274.3428398055037,-4.486990479173983,-0.3508668919753877,1283.3168207638516,4.486990479173983,0.3508668919753877,1287.8038112430254,8.973980958347738,0.7017337839507531,0.3508668919753849,4.80740671595891e-15
engine_k2_base,0.4,1278.8298302846777,1272.546794957911,-6.283035326766594,-0.49131128927200063,1275.6883126212945,-3.1415176633831834,-0.2456556446359892,1281.971347948061,3.1415176633834108,0.24565564463601142,1285.1128656114445,6.2830353267668215,0.49131128927202283,0.2456556446360031,9.20548301573787e-15
engine_k1_bpr_exponent,0.2,1278.8298302846777,1284.9120650106975,6.082234726019806,0.4756093877373635,1281.918007083071,3.088176798393306,0.24148457638855092,1275.6445759680742,-3.1852543166035048,-0.24907569726414502,1272.359192480082,-6.4706378045957536,-0.5059811439615314,0.24533888487553585,0.006002745422400671
engine_k4_triple_shaft,0.64,1278.8298302846777,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,0.0,0.0
engine_k4_single_shaft,0.5,1278.8298302846777,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,1278.8298302846777,0.0,0.0,0.0,0.0
